,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
39,SPY260605P00589000,2026-05-20 13:51:08+00:00,589.0,0.08,0.04,0.05,0.0,0.0,7.0,486,0.437505625,False,REGULAR,USD
40,SPY260605P00590000,2026-05-21 17:55:47+00:00,590.0,0.04,0.04,0.05,0.0,0.0,311.0,784,0.4335994140625,False,REGULAR,USD
41,SPY260605P00591000,2026-05-22 17:49:07+00:00,591.0,0.04,0.04,0.05,-0.030000001,-42.857143,100.0,103,0.43164630859375,False,REGULAR,USD
42,SPY260605P00592000,2026-05-22 17:39:57+00:00,592.0,0.04,0.05,0.06,-0.010000002,-20.000004,2.0,8,0.43555251953125,False,REGULAR,USD
43,SPY260605P00593000,2026-05-15 14:05:46+00:00,593.0,0.21,0.05,0.06,0.0,0.0,1.0,3,0.4335994140625,False,REGULAR,USD
44,SPY260605P00594000,2026-05-22 17:20:42+00:00,594.0,0.04,0.05,0.06,-0.18,-81.818184,1.0,58,0.43066975585937506,False,REGULAR,USD
45,SPY260605P00595000,2026-05-22 16:44:26+00:00,595.0,0.05,0.05,0.06,0.0,0.0,1551.0,106,0.42774009765625004,False,REGULAR,USD
46,SPY260605P00596000,2026-05-22 17:08:22+00:00,596.0,0.04,0.05,0.06,-0.010000002,-20.000004,1838.0,5,0.424810439453125,False,REGULAR,USD
47,SPY260605P00597000,2026-05-07 15:51:31+00:00,597.0,0.35,0.05,0.06,0.0,0.0,82.0,85,0.42188078125,False,REGULAR,USD
48,SPY260605P00598000,2026-05-22 17:34:50+00:00,598.0,0.04,0.05,0.06,-0.02,-33.333336,103.0,57,0.418951123046875,False,REGULAR,USD
49,SPY260605P00599000,2026-05-21 17:57:52+00:00,599.0,0.05,0.05,0.06,0.0,0.0,801.0,811,0.41602146484374997,False,REGULAR,USD
50,SPY260605P00600000,2026-05-22 20:03:25+00:00,600.0,0.06,0.05,0.06,0.0,0.0,8.0,337,0.41309180664062495,False,REGULAR,USD
